name,id,types,base_stats_total,defensive_advantages
Tangrowth,465,Grass,535,4
Gogoat,673,Grass,531,4
Blastoise,9,Water,530,4
Feraligatr,160,Water,530,4
Sceptile,254,Grass,530,4
Walrein,365,"Ice, Water",530,4
Mamoswine,473,"Ice, Ground",530,4
Rillaboom,812,Grass,530,4
Inteleon,818,Water,530,4
Dondozo,977,Water,530,4
Serperior,497,Grass,528,4
Samurott,503,Water,528,4
Cloyster,91,"Water, Ice",525,4
Vaporeon,134,Water,525,4
Meganium,154,Grass,525,4
Leafeon,470,Grass,525,4
Dusknoir,477,Ghost,525,4
Sylveon,700,Fairy,525,4
Mega Manectric,10055,Electric,575,3
Mega Absol,10057,Dark,565,3
Electivire,466,Electric,540,3
Jolteon,135,Electric,525,3
Umbreon,197,Dark,525,3
Hippowdon,450,Ground,525,3
Wyrdeer,899,"Normal, Psychic",525,3
Deoxys (Attack),10001,Psychic,600,2
Deoxys (Defense),10002,Psychic,600,2
Deoxys (Speed),10003,Psychic,600,2
Mega Alakazam,10037,Psychic,600,2
Espeon,196,Psychic,525,2
Slaking,289,Normal,670,1
Mega Kangaskhan,10039,Normal,590,1
Mega Glalie,10074,Ice,580,1
Snorlax,143,Normal,540,1
Blissey,242,Normal,540,1
Porygon-Z,474,Normal,535,1
Vanilluxe,584,Ice,535,1
Type-Null,772,Normal,534,1
Glaceon,471,Ice,525,1
